time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-06T13:09:26.746Z,31.667,-104.368,5.741,2.8,ml,18,66,0.1,0.2,tx,tx2024pjip,2024-08-06T14:19:10.782Z,"56 km S of Whites City, New Mexico",earthquake,1.427509257195341,1.2916979517042613,0,6,reviewed,tx,tx
2024-08-06T12:39:56.604Z,31.669,-104.37,7.3688,2.8,ml,37,69,0.1,0.1,tx,tx2024pjgt,2024-08-06T13:40:12.393Z,"56 km S of Whites City, New Mexico",earthquake,0.5244408343586874,0.6120200466224125,0.1,37,reviewed,tx,tx
2024-08-06T12:00:41.150Z,19.179,-155.701166666667,7.53,4.01,ml,43,83,0.0475,0.24,hv,hv74387636,2024-08-07T12:03:53.889Z,"13 km NNE of Hawaiian Ocean View, Hawaii",earthquake,0.46,0.68,0.19219366330159,31,reviewed,hv,hv
2024-08-06T11:33:42.260Z,-17.0639,-70.465,135.285,4.5,mb,59,137,1.076,1.46,us,us6000nic5,2024-08-06T12:39:33.040Z,"15 km NW of Pujocucho, Peru",earthquake,8.75,7.305,0.071,58,reviewed,us,us
2024-08-06T10:33:03.870Z,31.497,-115.6248333,7.63,3.05,ml,15,78,0.172,0.27,ci,ci40864000,2024-08-06T15:05:25.128Z,"92 km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.38,2.33,0.133,53,reviewed,ci,ci
2024-08-06T10:32:16.190Z,31.5026667,-115.6211667,8.24,2.57,ml,10,108,0.178,0.19,ci,ci40863992,2024-08-06T10:39:33.553Z,"91 km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.43,2.16,0.159,20,automatic,ci,ci
2024-08-06T09:30:18.390Z,19.385,-155.2415,1.69,2.92,ml,37,65,0.009275,0.1,hv,hv74387426,2024-08-06T09:40:45.830Z,"6 km S of Volcano, Hawaii",earthquake,0.19,0.16,0.47051916774469,24,reviewed,hv,hv
2024-08-06T08:59:34.333Z,-15.1689,167.2424,120.02,5.1,mb,99,33,6.047,0.91,us,us6000nibh,2024-08-06T09:49:02.398Z,"23 km SE of Port-Olry, Vanuatu",earthquake,8.43,3.735,0.035,293,reviewed,us,us
2024-08-06T07:43:40.375Z,-25.2372,178.2812,613.799,4.9,mb,62,87,5.226,0.91,us,us6000nib8,2024-08-06T08:00:30.040Z,"south of the Fiji Islands",earthquake,11.04,7.648,0.043,167,reviewed,us,us
2024-08-06T07:18:40.825Z,13.4704,-89.7276,76.037,4.7,mb,77,167,0.327,0.79,us,us6000nib4,2024-08-06T20:30:03.301Z,"17 km SE of Acajutla, El Salvador",earthquake,6.54,5.211,0.029,357,reviewed,us,us
2024-08-06T06:06:54.175Z,61.252,-146.871,22.3,3,ml,,,,0.49,ak,ak024a2ab08t,2024-08-06T07:13:27.040Z,"31 km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-08-06T05:39:27.381Z,7.7174,127.0384,50.272,5.3,mb,80,77,1.584,0.92,us,us6000niay,2024-08-06T10:50:42.040Z,"54 km E of Kinablangan, Philippines",earthquake,5.91,4.714,0.049,139,reviewed,us,us
2024-08-06T04:49:25.920Z,40.24,-121.15,-0.31,2.8,md,33,50,0.2354,0.18,nc,nc75044147,2024-08-07T10:34:36.423Z,"3 km NE of Almanor, CA",earthquake,0.31,3.96000004,0.12,30,automatic,nc,nc
2024-08-06T04:36:01.017Z,60.1031,-150.7791,20,2.7,ml,,,,0.69,ak,ak024a29agf9,2024-08-06T04:37:43.845Z,"29 km NNE of Fox River, Alaska",earthquake,,1.1,,,automatic,ak,ak
2024-08-06T01:57:34.113Z,61.0873,-149.7226,38.6,2.8,ml,,,,0.87,ak,ak024a27mq3d,2024-08-06T19:51:58.959Z,"17 km SSE of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-08-06T01:37:59.932Z,-31.9415,-67.7441,128.979,4.1,mb,31,82,0.893,0.79,us,us6000niac,2024-08-06T02:46:28.040Z,"60 km ESE of Caucete, Argentina",earthquake,4.26,8.454,0.184,8,reviewed,us,us
2024-08-06T01:32:32.115Z,40.0369,77.2995,10,4.1,mb,23,233,2.034,0.64,us,us6000niab,2024-08-06T03:09:39.040Z,"128 km ENE of Kashgar, China",earthquake,8.85,2,0.214,6,reviewed,us,us
2024-08-06T00:05:19.645Z,55.6215,-157.2637,114.9,3,ml,,,,0.71,ak,ak024a26q490,2024-08-06T00:34:52.040Z,"103 km SE of Chignik, Alaska",earthquake,,1.7,,,automatic,ak,ak
